email_id,actual_label,predicted_label,spam_score,correct
E2272,ham,ham,0.0014,yes
E2807,ham,ham,0.0058,yes
E1790,ham,ham,0.0004,yes
E1171,ham,ham,0.0000,yes
E2010,ham,ham,0.0069,yes
E5408,ham,ham,0.0000,yes
E1980,spam,spam,1.0000,yes
E4302,ham,ham,0.0000,yes
E3794,spam,spam,1.0000,yes
E4348,ham,ham,0.0047,yes
E4140,ham,ham,0.0000,yes
E1697,ham,ham,0.0000,yes
E2020,ham,ham,0.0000,yes
E431,ham,ham,0.0000,yes
E2018,ham,ham,0.0000,yes
E3980,spam,spam,1.0000,yes
E3496,ham,ham,0.0081,yes
E3317,ham,ham,0.0082,yes
E541,ham,ham,0.0000,yes
E1544,ham,ham,0.0180,yes
E2553,ham,ham,0.0002,yes
E4556,ham,ham,0.0000,yes
E3954,ham,ham,0.0000,yes
E3272,ham,spam,0.6704,no
E46,ham,ham,0.0000,yes
E1002,ham,ham,0.0001,yes
E2535,ham,ham,0.0005,yes
E1853,ham,ham,0.0000,yes
E2703,ham,ham,0.0000,yes
E1742,ham,ham,0.0108,yes
E4148,ham,ham,0.0002,yes
E1771,ham,ham,0.0001,yes
E832,ham,ham,0.0000,yes
E3803,spam,spam,1.0000,yes
E67,spam,spam,1.0000,yes
E2074,ham,ham,0.0000,yes
E1911,ham,ham,0.0000,yes
E1429,ham,ham,0.0081,yes
E5196,ham,ham,0.0000,yes
E5303,ham,ham,0.0000,yes
E3332,ham,ham,0.0214,yes
E226,ham,ham,0.0000,yes
E3632,ham,ham,0.0978,yes
E2114,ham,ham,0.0000,yes
E1631,ham,ham,0.0000,yes
E5366,ham,ham,0.0000,yes
E312,ham,ham,0.0923,yes
E878,spam,spam,1.0000,yes
E5531,ham,ham,0.0111,yes
E2493,ham,ham,0.0000,yes
E3158,ham,ham,0.0081,yes
E1770,ham,ham,0.0038,yes
E2675,ham,ham,0.0315,yes
E1727,ham,ham,0.0001,yes
E4865,spam,spam,1.0000,yes
E5183,ham,ham,0.0000,yes
E2265,ham,ham,0.0000,yes
E4226,ham,ham,0.0398,yes
E3676,ham,ham,0.0070,yes
E1630,spam,spam,1.0000,yes
E2255,ham,ham,0.0002,yes
E987,ham,ham,0.0077,yes
E1861,ham,ham,0.0163,yes
E3641,spam,spam,1.0000,yes
E4345,ham,ham,0.0000,yes
E3609,ham,ham,0.0001,yes
E719,spam,spam,1.0000,yes
E3252,ham,ham,0.0085,yes
E3989,ham,ham,0.0000,yes
E1600,spam,spam,1.0000,yes
E1019,spam,spam,1.0000,yes
E5301,ham,ham,0.0000,yes
E3610,ham,ham,0.0349,yes
E2566,ham,ham,0.0009,yes
E5250,ham,ham,0.0000,yes
E927,ham,ham,0.2647,yes
E2627,ham,ham,0.0000,yes
E1213,ham,ham,0.0397,yes
E4434,ham,ham,0.0112,yes
E2633,ham,ham,0.0002,yes
E5318,spam,spam,1.0000,yes
E252,spam,spam,1.0000,yes
E4837,ham,ham,0.0039,yes
E4958,ham,ham,0.0000,yes
E2350,ham,ham,0.0022,yes
E5261,ham,ham,0.0000,yes
E4589,spam,spam,1.0000,yes
E3407,ham,ham,0.0000,yes
E1636,ham,ham,0.0003,yes
E1228,ham,ham,0.0004,yes
E2354,spam,spam,1.0000,yes
E4980,ham,ham,0.0000,yes
E5021,ham,ham,0.0000,yes
E5015,ham,ham,0.0002,yes
E1068,ham,ham,0.0043,yes
E5128,ham,ham,0.0000,yes
E2123,ham,ham,0.0001,yes
E2429,spam,spam,1.0000,yes
E518,ham,ham,0.3028,yes
E3104,ham,ham,0.1171,yes
E1080,ham,ham,0.0102,yes
E1266,ham,ham,0.0001,yes
E4217,ham,ham,0.0000,yes
E822,ham,ham,0.0000,yes
E5333,ham,ham,0.0030,yes
E2946,ham,ham,0.1775,yes
E1684,ham,ham,0.0178,yes
E4166,ham,ham,0.0001,yes
E3438,ham,spam,0.8847,no
E509,ham,ham,0.0002,yes
E2469,ham,ham,0.0467,yes
E2368,ham,ham,0.0055,yes
E136,spam,spam,1.0000,yes
E4056,ham,ham,0.0101,yes
E4204,ham,ham,0.0002,yes
E905,ham,ham,0.0000,yes
E1343,ham,ham,0.0108,yes
E1258,ham,ham,0.0004,yes
E5034,ham,ham,0.0008,yes
E4576,spam,spam,1.0000,yes
E3289,ham,ham,0.0000,yes
E3093,ham,ham,0.0000,yes
E4599,ham,ham,0.0000,yes
E971,ham,ham,0.0554,yes
E5209,spam,spam,1.0000,yes
E1167,ham,ham,0.0003,yes
E4669,ham,ham,0.0324,yes
E1708,ham,ham,0.0057,yes
E1681,ham,ham,0.0000,yes
E3403,spam,spam,1.0000,yes
E3596,ham,ham,0.0000,yes
E1867,ham,ham,0.0027,yes
E3078,ham,ham,0.0230,yes
E715,spam,spam,0.9997,yes
E3893,spam,spam,1.0000,yes
E5259,ham,ham,0.0002,yes
E1951,ham,ham,0.0001,yes
E2947,spam,spam,1.0000,yes
E5241,spam,spam,1.0000,yes
E1946,ham,ham,0.0000,yes
E1851,ham,ham,0.0000,yes
E4684,ham,ham,0.0050,yes
E1502,spam,spam,1.0000,yes
E3512,ham,ham,0.0000,yes
E223,ham,ham,0.0001,yes
E2243,ham,ham,0.0192,yes
E3729,ham,ham,0.0004,yes
E3875,ham,ham,0.0000,yes
E2921,ham,ham,0.0002,yes
E3506,ham,ham,0.0356,yes
E578,spam,spam,1.0000,yes
E4145,ham,ham,0.0032,yes
E2470,ham,ham,0.0000,yes
E4838,ham,ham,0.0000,yes
E4088,spam,spam,1.0000,yes
E4626,ham,ham,0.0001,yes
E2765,ham,ham,0.0033,yes
E4430,ham,ham,0.0006,yes
E3015,ham,ham,0.0000,yes
E2427,ham,ham,0.0000,yes
E2200,ham,ham,0.0023,yes
E3527,ham,ham,0.0000,yes
E5362,ham,ham,0.0000,yes
E3791,spam,spam,1.0000,yes
E755,ham,ham,0.0727,yes
E3292,spam,spam,1.0000,yes
E1335,ham,ham,0.0000,yes
E1032,ham,ham,0.0001,yes
E95,spam,spam,1.0000,yes
E4694,ham,ham,0.0007,yes
E1125,ham,ham,0.0000,yes
E918,ham,ham,0.0001,yes
E5177,ham,ham,0.4588,yes
E5335,ham,ham,0.2308,yes
E2591,ham,ham,0.0000,yes
E2271,spam,spam,0.9883,yes
E3400,ham,ham,0.0120,yes
E2475,spam,spam,1.0000,yes
E4772,ham,ham,0.0000,yes
E4470,ham,ham,0.0000,yes
E2900,ham,ham,0.0030,yes
E718,ham,ham,0.0001,yes
E69,spam,spam,1.0000,yes
E2463,ham,ham,0.0030,yes
E3614,ham,ham,0.0004,yes
E1333,ham,ham,0.0000,yes
E1903,ham,ham,0.0024,yes
E3993,spam,spam,0.9995,yes
E3428,ham,ham,0.0361,yes
E873,ham,ham,0.0076,yes
E188,ham,ham,0.0000,yes
E5026,ham,ham,0.0000,yes
E1978,ham,ham,0.0011,yes
E2749,ham,ham,0.0001,yes
E1210,ham,ham,0.0139,yes
E385,ham,ham,0.0000,yes
E4238,spam,spam,1.0000,yes
E2608,ham,ham,0.0093,yes
E20,ham,ham,0.0000,yes
E1173,ham,ham,0.0000,yes
E1559,ham,ham,0.0000,yes
E2405,ham,ham,0.0000,yes
E2574,ham,ham,0.0000,yes
E3519,ham,ham,0.0000,yes
E3758,ham,ham,0.0036,yes
E2294,ham,ham,0.1225,yes
E5048,ham,spam,0.9826,no
E4022,spam,spam,1.0000,yes
E1491,ham,ham,0.0308,yes
E2930,ham,ham,0.0192,yes
E1965,spam,spam,1.0000,yes
E4249,ham,ham,0.0006,yes
E1051,ham,ham,0.0000,yes
E2725,ham,ham,0.0006,yes
E1377,spam,spam,1.0000,yes
E2400,ham,ham,0.0709,yes
E474,ham,ham,0.0000,yes
E1635,ham,ham,0.0000,yes
E975,ham,ham,0.0000,yes
E5181,ham,ham,0.0000,yes
E1958,ham,ham,0.0000,yes
E761,ham,ham,0.0121,yes
E3164,ham,ham,0.0004,yes
E2929,ham,ham,0.0058,yes
E1781,ham,ham,0.0000,yes
E5155,ham,ham,0.0000,yes
E4021,ham,spam,0.5733,no
E1158,ham,ham,0.0000,yes
E171,ham,ham,0.0052,yes
E3607,ham,ham,0.0000,yes
E4753,ham,ham,0.0000,yes
E3585,ham,ham,0.0005,yes
E1319,ham,ham,0.0000,yes
E525,ham,ham,0.0071,yes
E3840,ham,ham,0.0035,yes
E3319,ham,ham,0.0000,yes
E772,ham,ham,0.0000,yes
E2080,ham,ham,0.0000,yes
E339,ham,ham,0.0005,yes
E2290,ham,ham,0.0000,yes
E2732,spam,spam,1.0000,yes
E5402,ham,ham,0.0000,yes
E294,ham,ham,0.0000,yes
E3572,ham,ham,0.0065,yes
E1318,ham,ham,0.0000,yes
E984,ham,ham,0.0043,yes
E4183,ham,ham,0.0000,yes
E2092,ham,ham,0.0000,yes
E949,spam,spam,1.0000,yes
E704,ham,ham,0.0000,yes
E3761,ham,ham,0.0000,yes
E5160,ham,ham,0.0004,yes
E2273,ham,ham,0.0469,yes
E3933,ham,ham,0.0000,yes
E955,ham,ham,0.0000,yes
E522,ham,ham,0.0061,yes
E4755,ham,ham,0.0000,yes
E4038,spam,spam,1.0000,yes
E1646,ham,ham,0.4910,yes
E1069,ham,ham,0.1150,yes
E5392,ham,ham,0.0001,yes
E3842,ham,ham,0.0000,yes
E3536,ham,ham,0.0000,yes
E4428,ham,ham,0.0010,yes
E4479,ham,ham,0.0001,yes
E4282,spam,spam,1.0000,yes
E3027,ham,ham,0.0000,yes
E2579,ham,ham,0.0000,yes
E4870,ham,ham,0.0012,yes
E4704,ham,spam,0.8049,no
E2927,ham,ham,0.0006,yes
E2598,spam,spam,1.0000,yes
E2888,ham,ham,0.0001,yes
E288,ham,ham,0.0000,yes
E1495,ham,ham,0.0000,yes
E4683,ham,ham,0.0000,yes
E3354,ham,ham,0.0016,yes
E1037,ham,spam,0.7137,no
E3748,ham,ham,0.0000,yes
E1061,ham,ham,0.0003,yes
E1667,ham,ham,0.0790,yes
E5356,ham,ham,0.0000,yes
E2061,ham,ham,0.0032,yes
E5276,ham,ham,0.0000,yes
E993,ham,spam,0.6313,no
E4277,ham,ham,0.0044,yes
E4728,ham,ham,0.0000,yes
E4592,ham,ham,0.0000,yes
E4812,ham,ham,0.0000,yes
E3081,ham,ham,0.0034,yes
E4790,ham,ham,0.0000,yes
E782,ham,ham,0.0030,yes
E3447,ham,ham,0.0001,yes
E1764,ham,ham,0.0000,yes
E2599,ham,ham,0.0000,yes
E5096,ham,ham,0.0000,yes
E3006,ham,ham,0.0174,yes
E2951,ham,ham,0.0000,yes
E2632,ham,ham,0.0004,yes
E808,ham,spam,0.7902,no
E3900,ham,ham,0.0014,yes
E2343,ham,ham,0.0025,yes
E4825,spam,spam,1.0000,yes
E1008,ham,ham,0.0007,yes
E1030,ham,ham,0.0009,yes
E1415,ham,ham,0.0000,yes
E580,ham,ham,0.0013,yes
E4743,ham,ham,0.0000,yes
E340,ham,ham,0.0019,yes
E924,ham,ham,0.0001,yes
E2809,ham,ham,0.1338,yes
E4229,ham,ham,0.0000,yes
E3172,ham,ham,0.0000,yes
E4502,spam,spam,1.0000,yes
E4313,spam,spam,1.0000,yes
E1512,ham,ham,0.0000,yes
E4901,ham,ham,0.0001,yes
E4546,ham,ham,0.0012,yes
E2802,ham,ham,0.0003,yes
E2431,ham,ham,0.1570,yes
E5573,ham,ham,0.0937,yes
E2719,ham,ham,0.0000,yes
E2046,spam,spam,1.0000,yes
E4676,ham,ham,0.0000,yes
E2834,ham,ham,0.0037,yes
E630,ham,ham,0.0000,yes
E2596,ham,ham,0.0000,yes
E2132,ham,ham,0.0007,yes
E1422,ham,ham,0.0000,yes
E5247,ham,ham,0.0000,yes
E4152,ham,ham,0.0000,yes
E4622,ham,ham,0.0000,yes
E5106,spam,spam,1.0000,yes
E3525,ham,ham,0.0000,yes
E1063,ham,ham,0.0097,yes
E4538,ham,ham,0.0001,yes
E5284,ham,ham,0.0000,yes
E510,ham,ham,0.0000,yes
E3358,ham,ham,0.0392,yes
E2192,ham,ham,0.0000,yes
E2731,spam,spam,1.0000,yes
E1840,ham,ham,0.0979,yes
E1981,ham,ham,0.0002,yes
E4115,ham,ham,0.0001,yes
E3397,ham,ham,0.0000,yes
E3816,ham,ham,0.0001,yes
E548,ham,ham,0.2123,yes
E3593,ham,ham,0.0002,yes
E2977,ham,ham,0.0001,yes
E887,ham,ham,0.0001,yes
E3472,ham,ham,0.0001,yes
E3049,ham,ham,0.0408,yes
E5245,ham,ham,0.0384,yes
E650,spam,spam,1.0000,yes
E2991,ham,ham,0.0431,yes
E4012,ham,ham,0.0000,yes
E3711,spam,spam,1.0000,yes
E4159,ham,ham,0.0003,yes
E4215,spam,spam,0.7738,yes
E2153,ham,ham,0.0736,yes
E3634,ham,ham,0.0159,yes
E694,ham,ham,0.0000,yes
E1254,spam,spam,0.9777,yes
E3024,ham,ham,0.0011,yes
E3357,ham,ham,0.0000,yes
E1325,ham,ham,0.0002,yes
E2669,ham,ham,0.0000,yes
E2678,ham,ham,0.0011,yes
E389,ham,ham,0.3421,yes
E1712,ham,ham,0.0000,yes
E4307,ham,ham,0.0006,yes
E5378,ham,ham,0.0180,yes
E360,spam,spam,1.0000,yes
E3733,ham,ham,0.0001,yes
E616,ham,ham,0.0000,yes
E4439,ham,ham,0.0000,yes
E3468,ham,ham,0.0000,yes
E1529,ham,ham,0.0000,yes
E4824,ham,ham,0.0011,yes
E3818,ham,ham,0.0000,yes
E1878,spam,spam,1.0000,yes
E5175,ham,ham,0.0001,yes
E1516,ham,ham,0.0145,yes
E637,spam,spam,1.0000,yes
E2454,ham,spam,0.9965,no
E2887,ham,ham,0.0016,yes
E3823,ham,ham,0.0000,yes
E2306,ham,ham,0.0000,yes
E1441,ham,ham,0.0017,yes
E3760,spam,spam,0.9998,yes
E3560,ham,ham,0.0085,yes
E5022,ham,ham,0.0024,yes
E3919,ham,ham,0.0081,yes
E606,ham,ham,0.0001,yes
E1262,ham,spam,0.9826,no
E2353,ham,ham,0.0038,yes
E3224,spam,spam,1.0000,yes
E1827,ham,ham,0.0026,yes
E585,spam,spam,1.0000,yes
E583,ham,ham,0.0000,yes
E1507,ham,ham,0.0000,yes
E1907,ham,ham,0.0000,yes
E1239,ham,ham,0.0016,yes
E3981,ham,ham,0.0214,yes
E2560,spam,spam,0.9829,yes
E4564,ham,ham,0.0000,yes
E5461,ham,ham,0.0569,yes
E2111,spam,spam,1.0000,yes
E799,spam,spam,1.0000,yes
E1588,ham,ham,0.0000,yes
E4440,ham,ham,0.0002,yes
E3722,spam,spam,1.0000,yes
E5526,ham,ham,0.0005,yes
E3418,ham,ham,0.1601,yes
E332,ham,ham,0.0001,yes
E941,spam,spam,1.0000,yes
E2351,ham,ham,0.1002,yes
E842,spam,spam,1.0000,yes
E5088,ham,ham,0.0001,yes
E965,ham,ham,0.0000,yes
E5344,ham,ham,0.0081,yes
E3888,ham,ham,0.0585,yes
E5014,spam,spam,1.0000,yes
E691,ham,ham,0.0000,yes
E1359,ham,ham,0.0005,yes
E2904,spam,spam,1.0000,yes
E2030,ham,ham,0.0005,yes
E291,ham,ham,0.0000,yes
E4899,ham,ham,0.0088,yes
E4384,ham,spam,0.7531,no
E922,ham,ham,0.0002,yes
E27,ham,ham,0.0000,yes
E4247,ham,ham,0.0000,yes
E762,ham,ham,0.1296,yes
E481,ham,ham,0.0005,yes
E3923,spam,spam,1.0000,yes
E3476,ham,ham,0.0005,yes
E1244,ham,ham,0.0059,yes
E1471,spam,spam,0.9993,yes
E5566,ham,ham,0.0000,yes
E4986,ham,ham,0.0699,yes
E3655,ham,ham,0.0000,yes
E251,ham,ham,0.0000,yes
E3978,ham,ham,0.0001,yes
E1564,ham,ham,0.0012,yes
E717,ham,ham,0.0000,yes
E2514,ham,ham,0.0022,yes
E3783,ham,ham,0.2889,yes
E4653,ham,ham,0.0001,yes
E5446,ham,ham,0.0000,yes
E1474,ham,ham,0.0002,yes
E2102,spam,spam,1.0000,yes
E3180,ham,ham,0.0022,yes
E3295,ham,ham,0.0000,yes
E4383,ham,ham,0.0000,yes
E2381,ham,ham,0.0243,yes
E4103,ham,ham,0.0013,yes
E5102,spam,spam,1.0000,yes
E1615,spam,spam,1.0000,yes
E1663,ham,ham,0.0207,yes
E3546,ham,ham,0.0063,yes
E4455,ham,ham,0.0001,yes
E4975,ham,ham,0.0000,yes
E68,ham,ham,0.0667,yes
E555,ham,ham,0.0135,yes
E1072,ham,ham,0.0001,yes
E1088,ham,ham,0.0000,yes
E2730,ham,ham,0.0008,yes
E2617,ham,ham,0.0000,yes
E5132,ham,ham,0.0472,yes
E4350,spam,spam,1.0000,yes
E5275,ham,ham,0.0001,yes
E4050,spam,spam,1.0000,yes
E4188,ham,ham,0.0363,yes
E1560,ham,ham,0.0001,yes
E4761,spam,spam,1.0000,yes
E2914,ham,ham,0.0000,yes
E4363,ham,ham,0.0000,yes
E4356,ham,ham,0.0000,yes
E2307,ham,ham,0.0000,yes
E391,spam,spam,1.0000,yes
E4522,ham,ham,0.0000,yes
E4570,ham,ham,0.0047,yes
E1099,spam,spam,1.0000,yes
E1312,ham,ham,0.0002,yes
E2578,ham,ham,0.0006,yes
E3973,ham,ham,0.0000,yes
E25,ham,ham,0.0000,yes
E4765,ham,ham,0.0040,yes
E1437,ham,ham,0.0000,yes
E473,spam,spam,1.0000,yes
E2948,ham,ham,0.0000,yes
E4773,ham,ham,0.0000,yes
E2380,spam,spam,0.9998,yes
E1232,ham,ham,0.0000,yes
E5003,ham,ham,0.0002,yes
E3801,ham,ham,0.0000,yes
E4330,ham,ham,0.0089,yes
E4590,ham,ham,0.0000,yes
E4086,ham,ham,0.0000,yes
E4847,spam,spam,1.0000,yes
E1297,ham,ham,0.0000,yes
E2318,ham,ham,0.0053,yes
E3226,ham,ham,0.0002,yes
E2787,ham,ham,0.0013,yes
E3456,ham,spam,0.9241,no
E3309,ham,ham,0.0002,yes
E517,spam,spam,1.0000,yes
E3880,ham,ham,0.0003,yes
E2955,ham,ham,0.0042,yes
E830,ham,ham,0.0002,yes
E2618,ham,ham,0.0001,yes
E1390,ham,ham,0.0000,yes
E4615,ham,ham,0.0000,yes
E331,ham,ham,0.0069,yes
E1093,spam,spam,1.0000,yes
E3311,ham,ham,0.0000,yes
E2824,ham,ham,0.0001,yes
E61,ham,ham,0.1737,yes
E3113,spam,spam,0.9992,yes
E2403,ham,ham,0.0675,yes
E4770,spam,spam,1.0000,yes
E2987,ham,ham,0.0000,yes
E4924,ham,ham,0.0000,yes
E810,ham,ham,0.0005,yes
E2616,ham,ham,0.0551,yes
E3310,ham,ham,0.0000,yes
E3590,ham,ham,0.0007,yes
E3944,spam,spam,0.9994,yes
E3653,ham,ham,0.0004,yes
E5216,ham,ham,0.1364,yes
E1935,ham,ham,0.0010,yes
E5151,spam,spam,1.0000,yes
E4677,ham,ham,0.0036,yes
E1943,ham,ham,0.0000,yes
E3886,ham,ham,0.0000,yes
E1295,ham,ham,0.0000,yes
E767,ham,ham,0.0000,yes
E923,ham,ham,0.0122,yes
E230,ham,spam,0.5324,no
E2169,ham,ham,0.0012,yes
E5273,spam,spam,1.0000,yes
E521,ham,ham,0.0000,yes
E3918,ham,ham,0.0000,yes
E5115,ham,ham,0.0001,yes
E682,ham,ham,0.0000,yes
E5391,ham,ham,0.0000,yes
E953,ham,ham,0.0000,yes
E4393,ham,ham,0.0000,yes
E5447,spam,spam,1.0000,yes
E783,ham,spam,0.9934,no
E3205,ham,ham,0.0000,yes
E2510,ham,ham,0.0090,yes
E567,ham,ham,0.0000,yes
E114,ham,ham,0.0013,yes
E2428,ham,ham,0.0000,yes
E4830,ham,ham,0.0000,yes
E3630,ham,ham,0.0030,yes
E526,ham,ham,0.3140,yes
E4497,ham,ham,0.0000,yes
E615,ham,ham,0.0478,yes
E3091,ham,ham,0.1208,yes
E933,ham,ham,0.0000,yes
E5403,ham,ham,0.1185,yes
E221,ham,ham,0.0081,yes
E1535,ham,ham,0.0000,yes
E5117,ham,ham,0.0106,yes
E2688,spam,spam,1.0000,yes
E1449,ham,ham,0.0000,yes
E1509,spam,spam,0.8394,yes
E962,ham,ham,0.1338,yes
E2893,ham,ham,0.0005,yes
E1970,ham,ham,0.0004,yes
E2450,ham,ham,0.0000,yes
E3905,ham,ham,0.0002,yes
E4947,ham,ham,0.0000,yes
E5176,ham,ham,0.0001,yes
E1702,ham,ham,0.0081,yes
E1400,ham,ham,0.0000,yes
E4107,ham,ham,0.0062,yes
E2133,ham,ham,0.0004,yes
E2754,ham,ham,0.0291,yes
E248,ham,ham,0.0000,yes
E1109,ham,ham,0.0000,yes
E5091,ham,ham,0.0000,yes
E73,ham,ham,0.0011,yes
E399,ham,ham,0.0000,yes
E197,ham,ham,0.0000,yes
E4600,ham,ham,0.0019,yes
E1455,ham,ham,0.0001,yes
E1595,ham,ham,0.0004,yes
E3800,ham,ham,0.0000,yes
E581,spam,spam,1.0000,yes
E4897,ham,ham,0.0069,yes
E1434,ham,ham,0.0000,yes
E1700,ham,ham,0.0000,yes
E3111,ham,ham,0.0000,yes
E3666,ham,ham,0.0013,yes
